Atom: Cu, Spin: 1, Partial Phase Shift and DOS at Energy =    0.64654881
Total DOS in Cell and MT Volumes =    4.68298185   3.95445408
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.12040758           0.93673272           0.77304889
  1    -1           0.08160002           0.55341173           0.38613061
  1     0           0.08160002           0.55365928           0.38613061
  1     1           0.08160002           0.55390684           0.38613061
  2    -2           2.98006937           0.40954144           0.40140831
  2    -1           2.98083570           0.40239661           0.39765716
  2     0           2.97930303           0.41662537           0.40515946
  2     1           2.98083570           0.40239661           0.39765716
  2     2           2.98006937           0.40948053           0.40140831
  3    -3           0.00139361           0.00653681           0.00281258
  3    -2           0.00146708           0.00561292           0.00282824
  3    -1           0.00142746           0.00604139           0.00281973
  3     0           0.00134284           0.00790961           0.00280186
  3     1           0.00142746           0.00606294           0.00281973
  3     2           0.00146708           0.00561358           0.00282824
  3     3           0.00139361           0.00705347           0.00281258
