Atom: Cu, Spin: 1, Partial Phase Shift and DOS at Energy =    0.64654881
Total DOS in Cell and MT Volumes =    3.56986722   2.91204461
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.12040758           0.61093123           0.50411970
  1    -1           0.08160002           0.61039268           0.43950985
  1     0           0.08160002           0.61064024           0.43950985
  1     1           0.08160002           0.61088779           0.43950985
  2    -2           2.98006937           0.22693766           0.22209108
  2    -1           2.98083570           0.16353523           0.16166529
  2     0           2.97930303           0.29027918           0.28251687
  2     1           2.98083570           0.16353523           0.16166529
  2     2           2.98006937           0.22687675           0.22209108
  3    -3           0.00139361           0.01116845           0.00809579
  3    -2           0.00146708           0.00046189           0.00023063
  3    -1           0.00142746           0.00700180           0.00494685
  3     0           0.00134284           0.01804808           0.01281920
  3     1           0.00142746           0.00702336           0.00494685
  3     2           0.00146708           0.00046256           0.00023063
  3     3           0.00139361           0.01168511           0.00809579
