Atom: Cu, Spin: 1, Partial Phase Shift and DOS at Energy =    0.64862616
Total DOS in Cell and MT Volumes =    4.69299309   3.96418265
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.13004644           0.93719804           0.77151092
  1    -1           0.07719909           0.54979796           0.38325716
  1     0           0.07719909           0.55003502           0.38325716
  1     1           0.07719909           0.55027208           0.38325716
  2    -2           2.97887900           0.41268207           0.40517923
  2    -1           2.97965023           0.40618949           0.40142377
  2     0           2.97810777           0.41828755           0.40893469
  2     1           2.97965023           0.40652790           0.40142377
  2     2           2.97887900           0.41196418           0.40517923
  3    -3           0.00137102           0.00661147           0.00283177
  3    -2           0.00144429           0.00565446           0.00284738
  3    -1           0.00140587           0.00609463           0.00283916
  3     0           0.00131875           0.00799047           0.00282068
  3     1           0.00140587           0.00611682           0.00283916
  3     2           0.00144429           0.00565559           0.00284738
  3     3           0.00137102           0.00710777           0.00283177
  4    -4           0.00003760           0.00086942           0.00010090
  4    -3           0.00004026          -0.00007408           0.00009936
  4    -2           0.00004068           0.00157158           0.00009996
  4    -1           0.00003774           0.00027754           0.00009896
  4     0           0.00003677           0.00033227           0.00010388
  4     1           0.00003774           0.00027773           0.00009896
  4     2           0.00004068           0.00091945           0.00009996
  4     3           0.00004026           0.00026451           0.00009936
  4     4           0.00003760           0.00036917           0.00010090
