Atom: Cu, Spin: 1, Partial Phase Shift and DOS at Energy =    0.64862616
Total DOS in Cell and MT Volumes =    3.90069616   3.32801783
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.13004644           0.44502112           0.36534897
  1    -1           0.07719909           0.48840321           0.34185016
  1     0           0.07719909           0.48864027           0.34185016
  1     1           0.07719909           0.48887733           0.34185016
  2    -2           2.97887900           0.39165733           0.38520364
  2    -1           2.97965023           0.38240255           0.37800066
  2     0           2.97810777           0.40002502           0.39240662
  2     1           2.97965023           0.38274096           0.37800066
  2     2           2.97887900           0.39093945           0.38520364
  3    -3           0.00137102           0.00572235           0.00260414
  3    -2           0.00144429           0.00466382           0.00217113
  3    -1           0.00140587           0.00406707           0.00184657
  3     0           0.00131875           0.00880902           0.00374048
  3     1           0.00140587           0.00408925           0.00184657
  3     2           0.00144429           0.00466495           0.00217113
  3     3           0.00137102           0.00621866           0.00260414
  4    -4           0.00003760           0.00092590           0.00019084
  4    -3           0.00004026          -0.00010305           0.00009372
  4    -2           0.00004068           0.00036364           0.00004581
  4    -1           0.00003774           0.00095363           0.00031655
  4     0           0.00003677           0.00028714           0.00002519
  4     1           0.00003774           0.00095382           0.00031655
  4     2           0.00004068          -0.00028849           0.00004581
  4     3           0.00004026           0.00023555           0.00009372
  4     4           0.00003760           0.00042565           0.00019084
