Atom: Cu, Spin: 1, Partial Phase Shift and DOS at Energy =    0.64820384
Total DOS in Cell and MT Volumes =    3.80418653   3.28640112
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.12823374           0.51607122           0.42569250
  1    -1           0.07727408           0.40310453           0.28104328
  1     0           0.07727408           0.40310453           0.28104328
  1     1           0.07727408           0.40310453           0.28104328
  2    -2           2.98146491           0.41294900           0.40503493
  2    -1           2.98146491           0.38964673           0.38217925
  2     0           2.98146491           0.43625127           0.42789062
  2     1           2.98146491           0.38964673           0.38217925
  2     2           2.98146491           0.41294900           0.40503493
  3    -3           0.00138021           0.00452593           0.00193803
  3    -2           0.00138021           0.00459325           0.00196686
  3    -1           0.00138021           0.00331698           0.00142035
  3     0           0.00138021           0.00633935           0.00271455
  3     1           0.00138021           0.00331698           0.00142035
  3     2           0.00138021           0.00459325           0.00196686
  3     3           0.00138021           0.00452593           0.00193803
  4    -4           0.00003808           0.00092604           0.00028543
  4    -3           0.00003808           0.00025650           0.00007906
  4    -2           0.00003808           0.00057593           0.00017752
  4    -1           0.00003808           0.00106222           0.00032741
  4     0           0.00003808           0.00050595           0.00015595
  4     1           0.00003808           0.00106222           0.00032741
  4     2           0.00003808           0.00057593           0.00017752
  4     3           0.00003808           0.00025650           0.00007906
  4     4           0.00003808           0.00092604           0.00028543
