Atom: Fe, Spin: 1, Partial Phase Shift and DOS at Energy =    0.75610570
Total DOS in Cell and MT Volumes =    4.08228945   3.67394856
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.49487394           0.38536689           0.27669533
  1    -1          -0.06757480           0.22351485           0.13323563
  1     0          -0.06757480           0.22403326           0.13323562
  1     1          -0.06757480           0.22455170           0.13323563
  2    -2           2.75300781           0.59374217           0.59238408
  2    -1           2.74355803           0.61644742           0.61503185
  2     0           2.76245759           0.57104666           0.56973632
  2     1           2.74355803           0.61644742           0.61503185
  2     2           2.75300781           0.59375190           0.59238408
  3    -3           0.00192909           0.00440550           0.00184551
  3    -2           0.00253796           0.00437227           0.00187331
  3    -1           0.00214304           0.00492545           0.00185350
  3     0           0.00160816           0.00492532           0.00183353
  3     1           0.00214305           0.00493271           0.00185350
  3     2           0.00253796           0.00437634           0.00187331
  3     3           0.00192910           0.00544961           0.00184551
Atom: Fe, Spin: 2, Partial Phase Shift and DOS at Energy =    0.75610570
Total DOS in Cell and MT Volumes =   23.34750115  22.01569059
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.55381529           0.37142670           0.26185352
  1    -1          -0.09476402           0.21008348           0.12350430
  1     0          -0.09476402           0.21010969           0.12350430
  1     1          -0.09476402           0.21013590           0.12350430
  2    -2           1.65132480           4.52890675           4.32550347
  2    -1           1.80636628           4.20279977           4.06864998
  2     0           1.49628332           4.85105084           4.58235693
  2     1           1.80636628           4.20279977           4.06864998
  2     2           1.65132480           4.52494389           4.32550347
  3    -3           0.00172467           0.00530554           0.00179605
  3    -2           0.00232269           0.00431648           0.00183688
  3    -1           0.00193287           0.00514559           0.00180868
  3     0           0.00141239           0.00561814           0.00177712
  3     1           0.00193287           0.00515989           0.00180868
  3     2           0.00232269           0.00432646           0.00183688
  3     3           0.00172468           0.00537225           0.00179605
