Atom: Fe, Spin: 1, Partial Phase Shift and DOS at Energy =    0.75610570
Total DOS in Cell and MT Volumes =    9.78456196   9.55331916
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.49487394           0.23051053           0.16547242
  1    -1          -0.06757480           0.10277913           0.06329097
  1     0          -0.06757480           0.10329754           0.06329096
  1     1          -0.06757480           0.10381598           0.06329097
  2    -2           2.75300781           1.64994384           1.64614746
  2    -1           2.74355803           2.59581597           2.58989431
  2     0           2.76245759           0.70408144           0.70240060
  2     1           2.74355803           2.59581597           2.58989431
  2     2           2.75300781           1.64995357           1.64614746
  3    -3           0.00192909           0.00375885           0.00210843
  3    -2           0.00253796           0.01368842           0.00656774
  3    -1           0.00214304           0.00380232           0.00173251
  3     0           0.00160816           0.00499339           0.00267232
  3     1           0.00214305           0.00380958           0.00173251
  3     2           0.00253796           0.01369248           0.00656774
  3     3           0.00192910           0.00480296           0.00210843
Atom: Fe, Spin: 2, Partial Phase Shift and DOS at Energy =    0.75610570
Total DOS in Cell and MT Volumes =    4.86545164   3.67140248
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.55381529           0.05044653           0.03552060
  1    -1          -0.09476402           0.80811535           0.47089972
  1     0          -0.09476402           0.80814156           0.47089972
  1     1          -0.09476402           0.80816777           0.47089972
  2    -2           1.65132480           0.42958433           0.41086560
  2    -1           1.80636628           0.56107016           0.54340272
  2     0           1.49628332           0.29413560           0.27832846
  2     1           1.80636628           0.56107016           0.54340272
  2     2           1.65132480           0.42562146           0.41086560
  3    -3           0.00172467           0.01742012           0.00473823
  3    -2           0.00232269           0.01495242           0.00577342
  3    -1           0.00193287           0.02127934           0.00689749
  3     0           0.00141239           0.01170398           0.00149935
  3     1           0.00193287           0.02129364           0.00689749
  3     2           0.00232269           0.01496240           0.00577342
  3     3           0.00172468           0.01748684           0.00473823
