 icrys=  2 alat= 5.70000 ncmp=  1 nspn=  1
 at. # =     41
 conc  = 1.0000
   #              energy(ryd)  press(mbar)   rmsrh
  50              -7502.94863     0.69329   0.16E-09
  49              -7502.94863     0.69329   0.19E-09                            
  48              -7502.94863     0.69329   0.23E-09                            
  47              -7502.94863     0.69329   0.30E-09                            
  46              -7502.94863     0.69329   0.36E-09                            
  45              -7502.94863     0.69329   0.52E-09                            
  44              -7502.94863     0.69329   0.60E-09                            
  43              -7502.94863     0.69329   0.77E-09                            
  42              -7502.94863     0.69329   0.11E-08                            
  41              -7502.94863     0.69329   0.13E-08                            
  40              -7502.94863     0.69329   0.18E-08                            
  39              -7502.94863     0.69329   0.21E-08                            
  38              -7502.94863     0.69329   0.25E-08                            
  37              -7502.94863     0.69329   0.31E-08                            
  36              -7502.94863     0.69329   0.37E-08                            
  35              -7502.94863     0.69329   0.49E-08                            
  34              -7502.94863     0.69329   0.70E-08                            
  33              -7502.94863     0.69329   0.79E-08                            
  32              -7502.94863     0.69329   0.13E-07                            
  31              -7502.94863     0.69329   0.15E-07                            
  30              -7502.94863     0.69329   0.19E-07                            
  29              -7502.94863     0.69329   0.23E-07                            
  28              -7502.94863     0.69329   0.26E-07                            
  27              -7502.94863     0.69329   0.34E-07                            
  26              -7502.94863     0.69329   0.43E-07                            
  25              -7502.94863     0.69329   0.50E-07                            
  24              -7502.94863     0.69329   0.80E-07                            
  23              -7502.94863     0.69329   0.99E-07                            
  22              -7502.94863     0.69329   0.12E-06                            
  21              -7502.94863     0.69329   0.16E-06                            
  20              -7502.94863     0.69329   0.18E-06                            
  19              -7502.94863     0.69329   0.22E-06                            
  18              -7502.94863     0.69322   0.91E-06                            
  17              -7502.94863     0.69321   0.11E-05                            
  16              -7502.94863     0.69335   0.13E-04                            
  15              -7502.94863     0.69341   0.15E-04                            
  14              -7502.94863     0.69351   0.19E-04                            
  13              -7502.94863     0.69344   0.24E-04                            
  12              -7502.94865     0.68565   0.12E-03                            
  11              -7502.94875     0.68053   0.18E-03                            
  10              -7502.94814     0.70913   0.10E-02                            
   9              -7502.94887     0.67661   0.93E-03                            
   8              -7502.94877     0.68016   0.11E-02                            
   7              -7502.94896     0.70063   0.14E-02                            
   6              -7502.93732     1.28983   0.22E-01                            
   5              -7503.01546     0.53183   0.23E-01                            
   4              -7503.00071    -5.30880   0.18E+00                            
   3              -7503.00863    -3.87403   0.13E+00                            
   2              -7502.87450     3.52822   0.32E+00                            
   1              -7502.89836     4.22519   0.35E+00                            
