 icrys=  2 alat= 5.70000 ncmp=  1 nspn=  1
 at. # =     92
 conc  = 1.0000
   #              energy(ryd)  press(mbar)   rmsrh
  97             -51312.32261     2.44826   0.13E-10
  97             -51312.32261     2.44826   0.27E-11                            
  97             -51312.32261     2.44826   0.39E-11                            
  97             -51312.32261     2.44826   0.83E-11                            
  96             -51312.32261     2.44826   0.17E-11                            
  95             -51312.32261     2.44826   0.56E-11                            
  94             -51312.32261     2.44826   0.57E-11                            
  93             -51312.32261     2.44826   0.28E-11                            
  92             -51312.32261     2.44826   0.12E-10                            
  91             -51312.32261     2.44826   0.25E-11                            
  90             -51312.32261     2.44826   0.86E-11                            
  89             -51312.32261     2.44826   0.25E-11                            
  88             -51312.32261     2.44826   0.76E-11                            
  87             -51312.32261     2.44826   0.15E-11                            
  86             -51312.32261     2.44826   0.10E-10                            
  85             -51312.32261     2.44826   0.34E-11                            
  84             -51312.32261     2.44826   0.10E-10                            
  83             -51312.32261     2.44826   0.94E-12                            
  82             -51312.32261     2.44826   0.11E-10                            
  81             -51312.32261     2.44826   0.58E-11                            
  80             -51312.32261     2.44826   0.98E-11                            
  79             -51312.32261     2.44826   0.17E-11                            
  78             -51312.32261     2.44826   0.24E-11                            
  77             -51312.32261     2.44826   0.48E-11                            
  76             -51312.32261     2.44826   0.32E-11                            
  75             -51312.32261     2.44826   0.35E-11                            
  74             -51312.32261     2.44826   0.60E-11                            
  73             -51312.32261     2.44826   0.12E-10                            
  72             -51312.32261     2.44826   0.22E-10                            
  71             -51312.32261     2.44826   0.34E-11                            
  70             -51312.32261     2.44826   0.44E-11                            
  69             -51312.32261     2.44826   0.21E-11                            
  68             -51312.32261     2.44826   0.89E-11                            
  67             -51312.32261     2.44826   0.17E-10                            
  66             -51312.32261     2.44826   0.39E-11                            
  65             -51312.32261     2.44826   0.44E-11                            
  64             -51312.32261     2.44826   0.97E-11                            
  63             -51312.32261     2.44826   0.87E-11                            
  62             -51312.32261     2.44826   0.27E-10                            
  61             -51312.32261     2.44826   0.21E-10                            
  60             -51312.32261     2.44826   0.21E-10                            
  59             -51312.32261     2.44826   0.19E-10                            
  58             -51312.32261     2.44826   0.36E-10                            
  57             -51312.32261     2.44826   0.38E-10                            
  56             -51312.32261     2.44826   0.46E-10                            
  55             -51312.32261     2.44826   0.68E-10                            
  54             -51312.32261     2.44826   0.90E-10                            
  53             -51312.32261     2.44826   0.11E-09                            
  52             -51312.32261     2.44826   0.19E-09                            
  51             -51312.32261     2.44826   0.21E-09                            
  50             -51312.32261     2.44826   0.30E-09                            
  49             -51312.32261     2.44826   0.37E-09                            
  48             -51312.32261     2.44826   0.49E-09                            
  47             -51312.32261     2.44826   0.60E-09                            
  46             -51312.32261     2.44826   0.77E-09                            
  45             -51312.32261     2.44826   0.96E-09                            
  44             -51312.32261     2.44826   0.39E-08                            
  43             -51312.32261     2.44826   0.44E-08                            
  42             -51312.32261     2.44826   0.65E-08                            
  41             -51312.32261     2.44826   0.14E-07                            
  40             -51312.32261     2.44826   0.21E-07                            
  39             -51312.32261     2.44826   0.43E-07                            
  38             -51312.32261     2.44825   0.70E-07                            
  37             -51312.32261     2.44825   0.81E-07                            
  36             -51312.32261     2.44826   0.28E-06                            
  35             -51312.32261     2.44826   0.31E-06                            
  34             -51312.32261     2.44825   0.58E-06                            
  33             -51312.32261     2.44822   0.69E-06                            
  32             -51312.32261     2.44821   0.77E-06                            
  31             -51312.32261     2.44824   0.87E-06                            
  30             -51312.32261     2.44829   0.12E-05                            
  29             -51312.32261     2.44829   0.14E-05                            
  28             -51312.32261     2.44802   0.40E-05                            
  27             -51312.32261     2.44809   0.52E-05                            
  26             -51312.32261     2.44943   0.11E-04                            
  25             -51312.32261     2.44988   0.14E-04                            
  24             -51312.32260     2.44987   0.17E-04                            
  23             -51312.32261     2.44964   0.23E-04                            
  22             -51312.32261     2.45057   0.26E-04                            
  21             -51312.32261     2.45136   0.29E-04                            
  20             -51312.32258     2.44833   0.84E-04                            
  19             -51312.32258     2.44229   0.13E-03                            
  18             -51312.32263     2.42301   0.25E-03                            
  17             -51312.32266     2.42354   0.38E-03                            
  16             -51312.32266     2.41846   0.44E-03                            
  15             -51312.32266     2.36460   0.63E-03                            
  14             -51312.32237     2.37070   0.11E-02                            
  13             -51312.32229     2.38262   0.13E-02                            
  12             -51312.32264     2.26166   0.12E-02                            
  11             -51312.32265     2.25177   0.21E-02                            
  10             -51312.32416     2.25116   0.25E-02                            
   9             -51312.32029     3.26308   0.13E-01                            
   8             -51312.43294     1.48441   0.69E-02                            
   7             -51312.33982    -1.52938   0.12E+00                            
   6             -51312.33560    -2.37876   0.14E+00                            
   5             -51312.01682   -21.07671   0.40E+00                            
   4             -51311.98686   -23.56938   0.46E+00                            
