 icrys=  2 alat= 5.70000 ncmp=  1 nspn=  1
 at. # =     23
 conc  = 1.0000
   #              energy(ryd)  press(mbar)   rmsrh
  50              -1883.85590     0.04805   0.86E-12
  49              -1883.85590     0.04805   0.64E-12                            
  48              -1883.85590     0.04805   0.73E-12                            
  47              -1883.85590     0.04805   0.21E-11                            
  46              -1883.85590     0.04805   0.24E-11                            
  45              -1883.85590     0.04805   0.56E-11                            
  44              -1883.85590     0.04805   0.65E-11                            
  43              -1883.85590     0.04805   0.84E-11                            
  42              -1883.85590     0.04805   0.11E-10                            
  41              -1883.85590     0.04805   0.21E-10                            
  40              -1883.85590     0.04805   0.24E-10                            
  39              -1883.85590     0.04805   0.66E-10                            
  38              -1883.85590     0.04805   0.81E-10                            
  37              -1883.85590     0.04805   0.11E-09                            
  36              -1883.85590     0.04805   0.16E-09                            
  35              -1883.85590     0.04805   0.22E-09                            
  34              -1883.85590     0.04805   0.29E-09                            
  33              -1883.85590     0.04805   0.41E-09                            
  32              -1883.85590     0.04805   0.46E-09                            
  31              -1883.85590     0.04805   0.11E-08                            
  30              -1883.85590     0.04805   0.13E-08                            
  29              -1883.85590     0.04805   0.16E-08                            
  28              -1883.85590     0.04805   0.31E-08                            
  27              -1883.85590     0.04805   0.53E-08                            
  26              -1883.85590     0.04805   0.91E-08                            
  25              -1883.85590     0.04805   0.29E-07                            
  24              -1883.85590     0.04805   0.34E-07                            
  23              -1883.85590     0.04805   0.95E-07                            
  22              -1883.85590     0.04805   0.11E-06                            
  21              -1883.85590     0.04805   0.29E-06                            
  20              -1883.85590     0.04806   0.35E-06                            
  19              -1883.85590     0.04803   0.12E-05                            
  18              -1883.85590     0.04803   0.14E-05                            
  17              -1883.85590     0.04803   0.12E-04                            
  16              -1883.85590     0.04805   0.13E-04                            
  15              -1883.85590     0.04848   0.31E-04                            
  14              -1883.85590     0.04845   0.34E-04                            
  13              -1883.85592     0.04073   0.30E-03                            
  12              -1883.85585     0.04588   0.42E-03                            
  11              -1883.85589     0.05051   0.56E-03                            
  10              -1883.85619     0.03624   0.81E-03                            
   9              -1883.85588     0.05291   0.95E-03                            
   8              -1883.85763    -0.00456   0.19E-02                            
   7              -1883.86315    -0.35418   0.17E-01                            
   6              -1883.87045     0.07017   0.10E-01                            
   5              -1883.88903    -0.94860   0.53E-01                            
   4              -1883.86368    -2.12349   0.11E+00                            
   3              -1883.86869     1.01960   0.22E+00                            
   2              -1883.85689     1.65893   0.23E+00                            
   1              -1883.75138     3.01485   0.24E+00                            
